number,status,departure_time,arrival_time,airport,direction
AR001,on time,1730073688,1730131200,EZE,arrival
AR002,delayed,1730131200,1730131200,AEP,departure
AR003,on time,1730073698,46741883131,COR,arrival
AR004,on time,1730073698,46741889943,MDZ,departure
AR005,on time,1730073698,46741889943,ROS,arrival
AR011,on time,1730073800,1730131300,EZE,departure
AR011,on time,1730073800,1730131300,AEP,arrival
AR012,delayed,1730131500,1730190000,COR,departure
AR012,delayed,1730131500,1730190000,MDZ,arrival
AR013,on time,1730073600,1730132000,AEP,departure
AR014,cancelled,1730074100,1730132700,EZE,departure
AR015,on time,1730073800,1730133200,MDZ,departure
AR017,on time,1730073900,1730133700,ROS,departure
AR017,on time,1730073900,1730133700,AEP,arrival
AR018,on time,1730074000,1730133800,EZE,arrival
AR019,delayed,1730133900,1730191400,COR,departure
AR020,on time,1730074200,1730134000,MDZ,departure
AR020,on time,1730074200,1730134000,AEP,arrival
AR021,cancelled,1730074300,1730134100,EZE,departure
AR021,cancelled,1730074300,1730134100,ROS,arrival
AR022,on time,1730134200,1730191800,COR,arrival
